0x4f,0x51,0x53,0x55,0x57,0x59,0x5b,0x5d,0x5f,0x61,0x63,0x65,0x67,0x69,Time
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:12:40
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:12:49
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:12:57
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:13:06
3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:13:14
3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:13:23
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:13:31
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:13:40
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:13:48
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:13:57
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:14:05
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:14:14
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:14:22
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:14:31
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:14:39
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:14:48
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:14:56
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,09:15:04
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.69,3.69,3.69,3.69,09:15:13
0x4f,0x51,0x53,0x55,0x57,0x59,0x5b,0x5d,0x5f,0x61,0x63,0x65,0x67,0x69,Time
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,16:16:10
0x4f,0x51,0x53,0x55,0x57,0x59,0x5b,0x5d,0x5f,0x61,0x63,0x65,0x67,0x69,Time
3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,16:19:03
